webpage,loan_title,loan_description,loan_amount,interest_rate,repayment_period,loan_status,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication
http://www.we.com/loan/210001,30000,信用贷款，用于打印开店，短期周转，本人公务员，信用保证。,30000,12,9,0,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.we.com/loan/210002,借款购车,借款购车。。。。。。。。。。。。。。。。。。。。。。。。,30000,15,18,0,1,2,1,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,4,43,4,0,0,0,0,0
http://www.we.com/loan/210003,嘿咻，个人消费贷,初次借款只是希望累积信用度，本人正常公司职员上班，固定稳定收入，每月具有正常还款能力与责任。,10000,15,6,0,1,1,1,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,20,4,44,2,0,0,0,0,0
http://www.we.com/loan/210004,婚礼急转资金,因个人结婚 急需资金啊 分期还宽 啊1112121,10000,12,9,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.we.com/loan/210005,扩大经营，急需周转,本人大学毕业后自己创业，现在经营一家面积为105平米的便利店，因为生意不错，所以准备扩大经营，开一个分店，所以需要周转资金，陕西榆林地区的投资人，随时欢迎实地考察，诚信为主，绝不拖欠，保证按时还款。望各位投资人多多支持，80后，活的不容易。,70000,15,12,0,1,2,2,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,20,1,61,2,0,0,0,0,0
http://www.we.com/loan/210006,进货,进货。。。短期周转。。。。。。。。。。。,100000,11,6,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.we.com/loan/210007,网商借贷,本人全职淘宝店主，近期想增加库存，需要一笔资金！,30000,11,6,0,1,3,3,2,2,0,0,8000,0,0,0,0,0,4,1,0,1,0,0,0,34,3,1,0,0,0,0
http://www.we.com/loan/210008,扩大经营需要资金周转。,我经营超市，现在想扩大经营需要资金周转。,30000,15,12,0,1,1,1,2,9,0,0,0,0,0,0,0,0,6,0,0,0,0,18,1,34,2,0,1,0,0,0
http://www.we.com/loan/210009,消费,希望你们可以借给我这笔钱每月我会按时还款。,30000,15,24,0,1,3,2,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,8,2,44,2,0,0,0,0,0
http://www.we.com/loan/210010,住房装修,自己在公司上班，电子产品制造行业，工作收入稳定，贷款用于装修。经审核借款人所提供资料真实有效，符合人人贷的借款审核标准,10000,15,24,0,1,4,2,2,2,0,0,20000,0,0,0,0,0,3,1,0,0,0,8,4,44,4,0,0,0,0,0
http://www.we.com/loan/210011,经营,本企业扩大生产，用于经营周转.维持正常现金流转.,50000,11,6,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.we.com/loan/210012,公司资金周转,本人自有公司，运营正常，收入可观。现欲扩大规模，故申请贷款周转，还款能力充足，请大家放心。,120000,12,9,0,1,2,1,2,3,0,0,0,0,0,0,0,0,6,0,0,0,0,20,2,37,2,0,1,0,0,0
http://www.we.com/loan/210013,企业经营短期周转网络试贷,上海注册公司，从事小型行业管理软件的开发与销售，现为拓展市场，想通过网络平台筹集短期应急周转资金。上海地区已有客户200多家。有兴趣者欢迎投标。,25000,12,3,2,1,3,3,2,4,2,2,25000,50000,0,0,0,0,5,1,0,0,0,1,1,31,4,0,1,0,0,0
http://www.we.com/loan/210014,按时还款 绝不拖欠,资金周转，按时还款，绝不拖欠。本人信誉良好，无任何贷款逾期记录,30000,15,12,0,1,1,3,1,3,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,45,2,0,0,0,0,0
http://www.we.com/loan/210015,我要借款,1.23457E+59,3000,10,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,44,2,0,0,0,0,0
http://www.we.com/loan/210016,新房装修周转,新购住房由装修公司装修，目前现金有限，借款周转6月，年底还款。,50000,11,6,0,1,3,3,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,8,4,51,4,0,0,0,0,0
