,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,borrow_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
0,12.0,9,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
1,15.0,18,1,2,1,1,2,0,0,0,0,3,0,0,0,0,2,4,43,4,0,0,0,0,0,4.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
2,15.0,6,1,1,1,2,2,0,0,0,0,4,0,0,0,0,20,4,44,2,0,0,0,0,0,3.0,0,-0.6405248678406135,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
3,12.0,9,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,-0.6405248678406135,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4,15.0,12,1,2,2,2,1,0,0,0,0,4,0,0,0,0,20,1,61,2,0,0,0,0,0,5.0,0,0.05186388906163849,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
5,11.0,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.3980582675127645,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
6,11.0,6,1,3,3,2,2,0,0,0,0,4,1,0,1,0,0,0,34,3,1,0,0,0,0,2.0,0,-0.40972861553986284,-0.04673520780814995,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
7,15.0,12,1,1,1,2,9,0,0,0,0,6,0,0,0,0,18,1,34,2,0,1,0,0,0,3.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
8,15.0,24,1,3,2,2,1,0,0,0,0,4,0,0,0,0,8,2,44,2,0,0,0,0,0,4.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
9,15.0,24,1,4,2,2,2,0,0,0,0,3,1,0,0,0,8,4,44,4,0,0,0,0,0,4.0,0,-0.6405248678406135,0.3803426409638204,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
