,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,repay_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
12,12.0,3,1,3,3,2,4,2,2,0,0,5,1,0,0,0,1,1,31,4,0,1,0,0,0,1.0,1.0,-1.2060555087303093,0.12149212804164337,-0.7659003003259467,-0.15631913823855415,-0.11469927775759996
40,15.0,12,3,4,1,2,7,4,4,0,0,7,1,0,1,0,8,2,21,4,1,1,1,1,0,4.0,1.0,-0.1387322914691709,-0.21395798100874744,-0.20940085530644612,-0.15631913823855415,-0.11469927775759996
55,11.0,6,1,3,1,1,5,2,1,10,1,7,0,0,0,0,0,0,32,2,0,0,0,0,0,5.0,1.0,2.7102208956904055,-0.21395798100874744,1.2760356478076214,-0.15631913823855415,-0.11469927775759996
76,15.0,12,2,5,1,2,4,4,4,6,0,4,1,0,0,0,8,2,32,4,0,0,0,0,0,1.0,1.0,0.2887485836612592,-0.21395798100874744,0.013486519313767284,-0.15631913823855415,-0.11469927775759996
84,20.0,9,1,3,2,2,1,1,0,9,1,3,1,0,1,0,7,2,14,4,0,1,0,0,0,6.0,0.0,-1.2887937426265215,-0.0043016628522531755,-0.8090397921879234,-0.12092071404257339,-0.027230023662116666
85,15.0,12,3,2,1,2,3,3,3,0,0,4,1,1,0,0,0,0,11,3,0,0,0,0,0,4.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
104,10.0,3,2,2,1,1,3,3,3,0,0,7,1,1,1,0,0,0,50,4,1,0,0,1,0,5.0,1.0,-0.028414646274221186,-0.21395798100874744,-0.1518815328238104,-0.15631913823855415,-0.11469927775759996
145,15.0,12,3,4,3,2,4,3,2,0,0,3,1,1,0,0,14,2,23,4,0,0,0,0,0,2.0,1.0,-0.588276695638591,-0.21395798100874744,-0.4437920944231867,-0.15631913823855415,-0.11469927775759996
149,11.0,6,1,3,2,1,1,1,1,0,0,4,1,1,0,0,17,2,51,4,0,0,0,0,0,3.0,1.0,0.09845064569997097,-0.21395798100874744,-0.08573431196877933,-0.15631913823855415,-0.11469927775759996
186,15.0,12,1,2,1,1,2,1,0,6,1,4,0,0,0,0,12,2,46,3,0,1,0,0,0,4.0,0.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
194,11.0,6,1,2,2,1,2,2,1,5,1,7,1,1,1,0,8,2,42,4,0,1,0,0,0,5.0,1.0,-0.6654990472750557,1.7735839151148183,0.19754835125820158,3.769785296961192,-0.11469927775759996
213,13.0,18,2,3,3,2,5,1,1,0,0,4,1,1,0,0,15,4,44,4,1,1,0,0,0,6.0,1.0,-0.028414646274221186,-0.21395798100874744,-0.1518815328238104,-0.15631913823855415,-0.11469927775759996
326,15.0,12,1,3,1,3,4,1,1,0,0,4,0,0,0,0,0,0,37,2,1,0,0,1,0,4.0,1.0,0.7796621047787854,-0.21395798100874744,0.2694475043614962,-0.15631913823855415,-0.11469927775759996
422,24.0,24,1,2,1,1,2,1,0,17,1,3,1,0,1,0,11,4,52,4,0,1,0,0,0,1.0,0.0,0.6721024007137094,-0.21395798100874744,0.2133661649409264,-0.15631913823855415,-0.11469927775759996
424,15.0,12,1,2,3,1,2,2,1,13,0,3,0,0,0,0,16,4,45,4,0,0,0,0,0,4.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
435,10.0,3,3,2,3,1,8,3,3,0,0,4,0,0,0,0,18,4,23,3,0,1,0,0,0,4.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
466,15.0,12,1,2,2,2,3,2,1,12,1,3,0,0,0,0,12,3,45,3,1,1,1,1,0,1.0,1.0,-0.46141140366439876,1.2536362460867123,-0.37764487356815557,0.7440894631850882,2.110203964026415
526,15.0,24,1,2,3,1,1,1,1,0,0,5,0,0,0,0,8,4,42,4,0,1,0,0,0,6.0,1.0,-0.5772449311190959,-0.21395798100874744,-0.4380401621749231,-0.15631913823855415,-0.11469927775759996
530,13.0,12,1,2,3,1,5,1,1,0,0,4,0,0,0,0,1,4,44,2,1,1,0,0,0,3.0,1.0,0.26944299575214303,-0.21395798100874744,0.003420637879306033,-0.15631913823855415,-0.11469927775759996
532,11.0,6,1,2,2,2,5,2,2,4,1,3,1,1,0,0,14,2,44,3,0,1,0,0,0,2.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
